genus	family	order	class	phylum	superkingdom
Limnoglobus	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Limosilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Litoreibacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Litorilinea	Caldilineaceae	Caldilineales	Caldilineae	Chloroflexi	Bacteria
Longibaculum	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
Longimicrobium	Longimicrobiaceae	Longimicrobiales	Longimicrobia	Gemmatimonadetes	Bacteria
Loriellopsis	Symphyonemataceae	Nostocales		Cyanobacteria	Bacteria
Luedemannella	Micromonosporaceae	Micromonosporales	Actinobacteria	Actinobacteria	Bacteria
Luminiphilus	Halieaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Lunatimonas	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Luteibacter	Rhodanobacteraceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Luteimonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Luteitalea	Vicinamibacteraceae		Vicinamibacteria	Acidobacteria	Bacteria
Luteolibacter	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
Lutispora	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Lysinibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Lysobacter	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Macrococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Mageeibacillus	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Magnetospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Mangroviflexus	Marinilabiliaceae	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria
Marinibaculum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Mariniblastus	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
Marinilactibacillus	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Marinobacterium	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Marinospirillum	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Mariprofundus	Mariprofundaceae	Mariprofundales	Zetaproteobacteria	Proteobacteria	Bacteria
Marmoricola	Nocardioidaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Marseilla	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Martelella	Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Massiliprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Massilistercora		Clostridiales	Clostridia	Firmicutes	Bacteria
Mediterranea	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Mediterraneibacter	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Megamonas	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Megasphaera	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Melghirimyces	Thermoactinomycetaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Melioribacter	Melioribacteraceae	Ignavibacteriales	Ignavibacteria	Ignavibacteriae	Bacteria
Melittangium	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Merdimonas	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Mesobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Metabacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Metakosakonia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Metallibacterium	Rhodanobacteraceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Metaprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Methylacidimicrobium				Verrucomicrobia	Bacteria
Methylibium		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Methylobacillus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methyloceanibacter		Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylocella	Beijerinckiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylococcus	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
Methylocystis	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylophilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methylopila	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylorubrum	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylosarcina	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
Methylosinus	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylotenera	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methyloversatilis	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Methylovirgula	Beijerinckiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Methylovorus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Micavibrio			Alphaproteobacteria	Proteobacteria	Bacteria
Microbacterium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Micrococcus	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Microcoleus	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria
Microcystis	Microcystaceae	Chroococcales		Cyanobacteria	Bacteria
Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Millionella	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Minicystis		Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Miniimonas	Beutenbergiaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Mitsuaria		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Mitsuokella	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria
Mixta	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Mizugakiibacter	Rhodanobacteraceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Mobilicoccus	Dermatophilaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Mobilitalea	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Mobiluncus	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Modestobacter	Geodermatophilaceae	Geodermatophilales	Actinobacteria	Actinobacteria	Bacteria
Mogibacterium	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Bacteria
Moheibacter	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Monoglobus		Clostridiales	Clostridia	Firmicutes	Bacteria
Moorea	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria
Moraxella	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Moryella	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Motiliproteus	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Mucibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Mucinivorans	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Murdochiella	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Muribaculum	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Murimonas	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Mycetocola	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Mycoavidus	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Mycoplana	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
Myxococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Nakamurella	Nakamurellaceae	Nakamurellales	Actinobacteria	Actinobacteria	Bacteria
Nannocystis	Nannocystaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Natronoflexus	Marinilabiliaceae	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria
Ndongobacter				Firmicutes	Bacteria
Negativibacillus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Negativicoccus	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria
Neglecta	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
Nemorincola	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Neobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Neorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Nesterenkonia	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Nevskia	Sinobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria	Bacteria
Niabella	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Niastella	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Nibricoccus	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria
Nitratireductor	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Nitrincola	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Nitrobacter	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Nitrolancea	Sphaerobacteraceae	Sphaerobacterales	Thermomicrobia	Chloroflexi	Bacteria
Nitrosomonas	Nitrosomonadaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Nitrosospira	Nitrosomonadaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
Nitrospina	Nitrospinaceae	Nitrospinales	Nitrospinia	Nitrospinae	Bacteria
Nitrospira	Nitrospiraceae	Nitrospirales	Nitrospira	Nitrospirae	Bacteria
Nitrospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Nocardioides	Nocardioidaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria
Nocardiopsis	Nocardiopsaceae	Streptosporangiales	Actinobacteria	Actinobacteria	Bacteria
Nonomuraea	Streptosporangiaceae	Streptosporangiales	Actinobacteria	Actinobacteria	Bacteria
Nordella		Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Nosocomiicoccus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Nostoc	Nostocaceae	Nostocales		Cyanobacteria	Bacteria
Notoacmeibacter	Notoacmeibacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Novibacillus	Thermoactinomycetaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Noviherbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Novispirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Occallatibacter	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria
Occidentia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
Oceanibacterium	Sneathiellaceae	Sneathiellales	Alphaproteobacteria	Proteobacteria	Bacteria
Oceanibaculum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Oceanicella	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Oceanimonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Oceanisphaera	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Oceanobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Oceanospirillum	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Ochrobactrum	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Odoribacter	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Ohtaekwangia	Fulvivirgaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Oleomonas	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Oligoflexus	Oligoflexaceae	Oligoflexales	Oligoflexia	Proteobacteria	Bacteria
Oligosphaera	Oligosphaeraceae	Oligosphaerales	Oligosphaeria	Lentisphaerae	Bacteria
Oligotropha	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Olivibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Opitutus	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria
Oribacterium	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Orientia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
Ornithinibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Ornithinimicrobium	Intrasporangiaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Oryzobacter	Intrasporangiaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Oscillatoria	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria
Oscillibacter	Oscillospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Oscillochloris	Oscillochloridaceae	Chloroflexales	Chloroflexia	Chloroflexi	Bacteria
Ottowia	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Oxalicibacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Oxalobacter	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Paenarthrobacter	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paeniclostridium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Paenisporosarcina	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Paludibacter	Paludibacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Paludibaculum	Bryobacteraceae	Bryobacterales	Acidobacteriia	Acidobacteria	Bacteria
Paludicola	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Paludisphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria
Panacagrimonas	Sinobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria	Bacteria
Panacibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Pandoraea	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Pantoea	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Papillibacter	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Paraburkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Paraclostridium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Paracraurococcus	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Paraflavitalea	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Paraprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Pararheinheimera	Chromatiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
Parasegetibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Parasutterella	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Parvimonas	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Parviterribacter	Parviterribacteraceae	Solirubrobacterales	Thermoleophilia	Actinobacteria	Bacteria
Patulibacter	Patulibacteraceae	Solirubrobacterales	Thermoleophilia	Actinobacteria	Bacteria
Paucibacter		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Paucimonas	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Paucisalibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Pectobacterium	Pectobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Pedobacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Pedomicrobium	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Pelagibacterium	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Pelobacter	Desulfuromonadaceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria	Bacteria
Pelolinea	Anaerolineaceae	Anaerolineales	Anaerolineae	Chloroflexi	Bacteria
Pelomonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Peptacetobacter	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peptoanaerobacter	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peptococcus	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peptoniphilus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria
Peptostreptococcus	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Peredibacter	Bacteriovoracaceae	Bacteriovoracales	Oligoflexia	Proteobacteria	Bacteria
Peribacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Perlucidibaca	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Permianibacter	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Persicimonas	Bradymonadaceae	Bradymonadales	Deltaproteobacteria	Proteobacteria	Bacteria
Phaeodactylibacter	Haliscomenobacteraceae	Saprospirales	Saprospiria	Bacteroidetes	Bacteria
Phaeospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Phascolarctobacterium	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria
Phaselicystis	Phaselicystidaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Phenylobacterium	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Phocaeicola		Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Phocea	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Phyllobacterium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Pigmentiphaga	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Pirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
Piscinibacter		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Pistricoccus	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
Planctomyces	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
Planctopirus	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
Planococcus	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Planomicrobium	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Plantibacter	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Plasticicumulans	Candidatus Competibacteraceae		Gammaproteobacteria	Proteobacteria	Bacteria
Pleomorphomonas	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Plesiocystis	Nannocystaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Plesiomonas		Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Polyangium	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Pontibacter	Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Porphyrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Porphyromonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Portibacter	Haliscomenobacteraceae	Saprospirales	Saprospiria	Bacteroidetes	Bacteria
Porticoccus	Porticoccaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
Povalibacter	Steroidobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria	Bacteria
Pradoshia	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Pragia	Budviciaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Prevotellamassilia	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Promicromonospora	Promicromonosporaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Propionivibrio	Rhodocyclaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria
Prosthecobacter	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
Prosthecomicrobium	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Proteiniclasticum	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Proteus	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Pseudanabaena	Pseudanabaenaceae	Synechococcales		Cyanobacteria	Bacteria
Pseudarcicella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Pseudarthrobacter	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Pseudenhygromyxa	Nannocystaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
Pseudescherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Pseudoalteromonas	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Pseudobacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Pseudobutyrivibrio	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Pseudoclavibacter	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria
Pseudoclostridium	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Pseudoduganella	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Pseudoflavitalea	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
Pseudoflavonifractor	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
Pseudofulvimonas	Rhodanobacteraceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Pseudogemmobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Pseudogracilibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Pseudohongiella			Gammaproteobacteria	Proteobacteria	Bacteria
Pseudolabrys	Xanthobacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Pseudoleptotrichia	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
